Relación de municipios y códigos por provincia e islas a 1 de enero de 2025;;;;;
Santa Cruz de Tenerife;;;;;
CPRO;CISLA;ISLA;CMUN;DC;NOMBRE
38;381;Gomera, La ;002;7;Agulo
38;381;Gomera, La ;003;3;Alajeró
38;381;Gomera, La ;021;8;Hermigua
38;381;Gomera, La ;036;8;San Sebastián de la Gomera
38;381;Gomera, La ;049;1;Valle Gran Rey
38;381;Gomera, La ;050;4;Vallehermoso
38;382;Hierro, El ;013;1;Frontera
38;382;Hierro, El ;901;3;Pinar de El Hierro, El
38;382;Hierro, El ;048;8;Valverde
38;383;Palma, La ;007;0;Barlovento
38;383;Palma, La ;008;6;Breña Alta
38;383;Palma, La ;009;9;Breña Baja
38;383;Palma, La ;014;6;Fuencaliente de la Palma
38;383;Palma, La ;016;2;Garafía
38;383;Palma, La ;024;4;Llanos de Aridane, Los
38;383;Palma, La ;027;6;Paso, El
38;383;Palma, La ;029;5;Puntagorda
38;383;Palma, La ;030;9;Puntallana
38;383;Palma, La ;033;7;San Andrés y Sauces
38;383;Palma, La ;037;4;Santa Cruz de la Palma
38;383;Palma, La ;045;3;Tazacorte
38;383;Palma, La ;047;2;Tijarafe
38;383;Palma, La ;053;2;Villa de Mazo
38;384;Tenerife;001;2;Adeje
38;384;Tenerife;004;8;Arafo
38;384;Tenerife;005;1;Arico
38;384;Tenerife;006;4;Arona
38;384;Tenerife;010;3;Buenavista del Norte
38;384;Tenerife;011;0;Candelaria
38;384;Tenerife;012;5;Fasnia
38;384;Tenerife;015;9;Garachico
38;384;Tenerife;017;8;Granadilla de Abona
38;384;Tenerife;018;4;Guancha, La
38;384;Tenerife;019;7;Guía de Isora
38;384;Tenerife;020;1;Güímar
38;384;Tenerife;022;3;Icod de los Vinos
38;384;Tenerife;025;7;Matanza de Acentejo, La
38;384;Tenerife;026;0;Orotava, La
38;384;Tenerife;028;2;Puerto de la Cruz
38;384;Tenerife;031;6;Realejos, Los
38;384;Tenerife;032;1;Rosario, El
38;384;Tenerife;023;9;San Cristóbal de La Laguna
38;384;Tenerife;034;2;San Juan de la Rambla
38;384;Tenerife;035;5;San Miguel de Abona
38;384;Tenerife;038;0;Santa Cruz de Tenerife
38;384;Tenerife;039;3;Santa Úrsula
38;384;Tenerife;040;7;Santiago del Teide
38;384;Tenerife;041;4;Sauzal, El
38;384;Tenerife;042;9;Silos, Los
38;384;Tenerife;043;5;Tacoronte
38;384;Tenerife;044;0;Tanque, El
38;384;Tenerife;046;6;Tegueste
38;384;Tenerife;051;1;Victoria de Acentejo, La
38;384;Tenerife;052;6;Vilaflor de Chasna